5 10
2 4 1.80
0 1 1.82
1 2 6.32
0 2 4.14
1 3 8.83
2 3 3.97
1 4 4.38
3 4 9.26
0 4 8.33
0 3 3.36
#END#
6 15
2 5 1.42
3 5 6.82
2 3 8.62
2 4 4.85
4 5 1.33
1 5 2.84
0 3 3.57
1 3 4.14
0 2 5.30
0 5 6.91
0 4 7.23
0 1 3.95
1 4 4.89
1 2 1.33
3 4 3.79
#END#
7 21
2 6 6.77
1 2 5.43
0 4 1.40
0 3 3.85
3 4 8.15
3 6 4.67
1 6 4.92
0 2 4.70
1 4 6.78
0 1 8.78
1 5 3.35
1 3 5.23
2 3 1.44
2 4 6.63
4 6 6.08
4 5 3.90
2 5 4.03
3 5 4.72
0 5 6.02
0 6 3.68
5 6 1.09
#END#
8 28
1 6 4.69
3 6 2.43
3 7 8.51
0 6 7.92
6 7 3.75
2 5 9.24
1 2 8.74
5 7 9.41
1 7 9.45
4 5 9.64
1 4 5.03
2 3 4.89
0 1 6.61
0 3 2.39
1 5 7.10
2 7 1.30
4 6 5.33
0 2 8.24
4 7 7.11
2 6 7.03
3 4 4.74
2 4 4.99
5 6 4.51
0 5 7.02
0 4 7.96
0 7 4.33
1 3 7.99
3 5 9.14
#END#
9 36
0 7 5.85
3 4 2.58
0 5 1.69
2 5 3.25
1 6 5.56
4 8 6.23
4 6 1.04
3 8 3.37
2 4 4.24
1 3 7.96
5 7 1.07
2 6 1.48
1 4 9.03
0 8 8.00
1 2 2.95
4 5 8.38
3 6 7.04
1 7 6.33
2 8 3.46
1 8 5.71
7 8 5.82
0 2 4.63
0 4 6.99
5 8 8.84
5 6 9.04
6 7 9.26
3 5 1.35
0 1 5.96
1 5 4.84
2 3 8.87
2 7 8.95
4 7 9.95
6 8 5.80
0 6 1.81
0 3 3.12
3 7 7.07
#END#
10 45
0 1 8.32
2 9 8.91
0 4 3.32
6 8 3.78
5 8 4.04
1 3 9.64
4 8 1.23
5 7 8.97
6 7 1.42
2 5 3.53
4 9 4.94
1 4 8.11
0 9 8.92
5 9 6.91
2 8 7.88
0 5 5.70
7 8 8.31
1 2 8.56
4 6 7.59
3 8 3.34
4 5 6.29
1 8 2.97
1 7 5.79
1 5 6.03
3 9 5.78
0 8 9.47
0 7 6.33
0 6 4.60
0 3 9.39
1 6 2.08
1 9 1.49
5 6 7.01
6 9 8.56
3 5 8.33
2 4 1.61
3 6 3.51
3 4 5.88
3 7 4.97
4 7 6.13
2 3 4.95
2 6 5.02
8 9 5.39
2 7 7.39
7 9 8.39
0 2 9.74
#END#
11 55
6 7 7.51
0 7 9.62
1 5 8.68
2 5 6.23
3 10 8.23
1 8 6.82
0 9 4.45
7 10 5.17
5 6 2.54
4 7 8.58
5 10 2.65
1 6 3.65
1 2 5.13
0 10 6.92
1 9 5.68
3 5 5.91
0 6 8.35
2 10 5.17
8 10 6.30
3 7 9.22
6 10 2.49
9 10 5.79
5 7 9.86
6 8 2.77
7 9 3.75
1 10 4.55
1 3 3.26
7 8 2.14
1 7 9.01
2 6 7.65
3 6 1.46
4 8 3.02
2 7 4.48
0 5 3.24
0 3 7.83
2 8 8.10
0 8 3.69
4 5 6.72
2 9 7.02
0 1 1.44
2 4 1.52
4 10 7.81
1 4 2.39
3 4 5.05
5 9 7.72
4 9 1.31
5 8 2.33
2 3 8.11
4 6 9.29
8 9 4.31
3 8 2.99
0 4 5.61
6 9 4.62
0 2 8.43
3 9 9.87
#END#
12 66
6 7 4.81
0 8 2.07
4 8 1.41
4 5 7.60
4 6 6.11
4 7 8.48
6 11 1.10
6 8 7.82
5 11 9.25
2 6 7.86
10 11 6.87
0 5 2.26
5 9 2.63
3 5 8.15
6 9 2.24
0 4 7.94
4 11 9.84
0 7 3.55
8 9 8.64
2 11 4.53
1 10 5.49
1 4 9.58
0 1 3.73
0 6 2.82
2 5 5.28
7 11 5.18
1 5 2.43
3 10 3.58
0 9 1.28
1 3 5.30
